Prescription Drug Name,Drug Tier,Coverage Requirements and Limits
atomoxetine hcl oral capsule,Tier 2,PA
amphetamine-dextroamphet er oral capsule extended release 24 hour,Tier 1,PA
amphetamine-dextroamphetamine oral tablet,Tier 1,PA
dextroamphetamine sulfate er oral capsule extended release 24 hour,Tier 1,PA
dextroamphetamine sulfate oral solution,Tier 1,PA
dextroamphetamine sulfate oral tablet,Tier 1,PA
dextroamphetamine sulfate (Procentra Oral Solution),Tier 1,PA
VYVANSE ORAL CAPSULE (lisdexamfetamine dimesylate),Tier 3,PA
VYVANSE ORAL TABLET CHEWABLE (lisdexamfetamine dimesylate),Tier 3,PA
dextroamphetamine sulfate (Zenzedi Oral Tablet),Tier 1,PA
dexmethylphenidate hcl er oral capsule extended release 24 hour,Tier 1,PA
dexmethylphenidate hcl oral tablet,Tier 1,PA
methylphenidate hcl (Metadate Er Oral Tablet Extended Release),Tier 1,PA
methylphenidate hcl er (cd) oral capsule extended release,Tier 1,PA
methylphenidate hcl er (la) oral capsule extended release 24 hour,Tier 1,PA
methylphenidate hcl er oral tablet extended release,Tier 1,PA
methylphenidate hcl er oral tablet extended release 24 hour,Tier 1,PA
methylphenidate hcl oral solution,Tier 1,PA
methylphenidate hcl oral tablet,Tier 1,PA
neomycin sulfate oral tablet,Tier 1,
paromomycin sulfate oral capsule,Tier 1,
tobramycin inhalation nebulization solution,Tier 4,SP
HUMIRA PEDIATRIC CROHNS START SUBCUTANEOUS PREFILLED SYRINGE KIT 80 MG/0.8ML (adalimumab),Tier 4,PA; SP; QL (1 kit per 365 days)
HUMIRA PEDIATRIC CROHNS START SUBCUTANEOUS PREFILLED SYRINGE KIT 80 MG/0.8ML & 40MG/0.4ML (adalimumab),Tier 4,PA; SP; QL (2 syringes per 28 days)
HUMIRA PEN SUBCUTANEOUS PEN-INJECTOR KIT 40 MG/0.4ML (adalimumab),Tier 4,PA; SP; QL (2 syringes per 28 days)
HUMIRA PEN SUBCUTANEOUS PEN-INJECTOR KIT 40 MG/0.8ML (adalimumab),Tier 4,PA; SP; QL (2 pens per 28 days)
HUMIRA PEN-CD/UC/HS STARTER SUBCUTANEOUS PEN- INJECTOR KIT (adalimumab),Tier 4,PA; SP; QL (1 kit per 365 days)
HUMIRA PEN-PS/UV/ADOL HS START SUBCUTANEOUS PEN- INJECTOR KIT (adalimumab),Tier 4,PA; SP; QL (1 kit per 365 days)
HUMIRA SUBCUTANEOUS PREFILLED SYRINGE KIT (adalimumab),Tier 4,PA; SP; QL (2 syringes per 28 days)
SIMPONI ARIA INTRAVENOUS SOLUTION (golimumab),Tier 4,PA; SP
SIMPONI SUBCUTANEOUS SOLUTION AUTO-INJECTOR (golimumab),Tier 4,PA; SP; QL (1 pen per 28 days)
SIMPONI SUBCUTANEOUS SOLUTION PREFILLED SYRINGE (golimumab),Tier 4,PA; SP; QL (1 syringe per 28 days)
HUMIRA PEDIATRIC CROHNS START SUBCUTANEOUS PREFILLED SYRINGE KIT 80 MG/0.8ML (adalimumab),Tier 4,PA; SP; QL (1 kit per 365 days)
HUMIRA PEDIATRIC CROHNS START SUBCUTANEOUS PREFILLED SYRINGE KIT 80 MG/0.8ML & 40MG/0.4ML (adalimumab),Tier 4,PA; SP; QL (2 syringes per 28 days)
HUMIRA PEN SUBCUTANEOUS PEN-INJECTOR KIT 40 MG/0.4ML (adalimumab),Tier 4,PA; SP; QL (2 syringes per 28 days)
HUMIRA PEN SUBCUTANEOUS PEN-INJECTOR KIT 40 MG/0.8ML (adalimumab),Tier 4,PA; SP; QL (2 pens per 28 days)
HUMIRA PEN-CD/UC/HS STARTER SUBCUTANEOUS PEN- INJECTOR KIT (adalimumab),Tier 4,PA; SP; QL (1 kit per 365 days)
HUMIRA PEN-PS/UV/ADOL HS START SUBCUTANEOUS PEN- INJECTOR KIT (adalimumab),Tier 4,PA; SP; QL (1 kit per 365 days)
HUMIRA SUBCUTANEOUS PREFILLED SYRINGE KIT (adalimumab),Tier 4,PA; SP; QL (2 syringes per 28 days)
SIMPONI ARIA INTRAVENOUS SOLUTION (golimumab),Tier 4,PA; SP
SIMPONI SUBCUTANEOUS SOLUTION AUTO-INJECTOR (golimumab),Tier 4,PA; SP; QL (1 pen per 28 days)
SIMPONI SUBCUTANEOUS SOLUTION PREFILLED SYRINGE (golimumab),Tier 4,PA; SP; QL (1 syringe per 28 days)
RIDAURA ORAL CAPSULE (auranofin),Tier 3,
diclofenac potassium oral tablet,Tier 1,
diclofenac sodium er oral tablet extended release 24 hour,Tier 1,
diclofenac sodium oral tablet delayed release,Tier 1,
ibuprofen (Ibu Oral Tablet),Tier 1,
ibuprofen oral suspension,Tier 1,QL (4 mL per 1 day)
ibuprofen oral tablet,Tier 1,
indomethacin er oral capsule extended release,Tier 1,QL (2 capsule per 1 day)
indomethacin oral capsule 25 mg,Tier 1,QL (3 capsule per 1 day)
indomethacin oral capsule 50 mg,Tier 1,QL (4 capsule per 1 day)
ketorolac tromethamine oral tablet,Tier 1,QL (20 tablets per 30 days)
meclofenamate sodium oral capsule,Tier 1,
meloxicam oral tablet,Tier 1,QL (1 tablet per 1 day)
nabumetone oral tablet 500 mg,Tier 1,QL (4 tablets per 1 day)
nabumetone oral tablet 750 mg,Tier 1,QL (2 tablets per 1 day)
naproxen dr oral tablet delayed release,Tier 1,
naproxen oral suspension,Tier 1,
naproxen oral tablet,Tier 1,
naproxen sodium oral tablet,Tier 1,
sulindac oral tablet,Tier 1,
ORENCIA CLICKJECT SUBCUTANEOUS SOLUTION AUTO- INJECTOR (abatacept),Tier 4,PA; SP; QL (4 syringes per 28 days)
ORENCIA INTRAVENOUS SOLUTION RECONSTITUTED (abatacept),Tier 4,PA; SP; QL (4 syringes per 28 days)
ORENCIA SUBCUTANEOUS SOLUTION PREFILLED SYRINGE 125 MG/ML (abatacept),Tier 4,PA; SP; QL (4 syringes per 28 days)
"ORENCIA SUBCUTANEOUS SOLUTION PREFILLED SYRINGE 50 MG/0.4ML, 87.5 MG/0.7ML (abatacept)",Tier 4,PA; SP; QL (4 injections per 28 days)
ENBREL MINI SUBCUTANEOUS SOLUTION CARTRIDGE (etanercept),Tier 4,PA; SP; QL (4 cartridges per 28 days)
ENBREL SUBCUTANEOUS SOLUTION PREFILLED SYRINGE 25 MG/0.5ML (etanercept),Tier 4,PA; SP; QL (8 syringes per 28 days)
ENBREL SUBCUTANEOUS SOLUTION PREFILLED SYRINGE 50 MG/ML (etanercept),Tier 4,PA; SP; QL (4 syringes per 28 days)
ENBREL SUBCUTANEOUS SOLUTION RECONSTITUTED (etanercept),Tier 4,PA; SP; QL (8 vials per 28 days)
ENBREL SURECLICK SUBCUTANEOUS SOLUTION AUTO- INJECTOR (etanercept),Tier 4,PA; SP; QL (4 pens per 28 days)
