Prescription Drug Name,Drug Tier,Coverage Requirements and Limits,Insurer
atomoxetine hcl oral capsule,Tier 2,PA,Anthem-Blue-Cross
amphetamine-dextroamphet er oral capsule extended release 24 hour,Tier 1,PA,Anthem-Blue-Cross
amphetamine-dextroamphetamine oral tablet,Tier 1,PA,Anthem-Blue-Cross
dextroamphetamine sulfate er oral capsule extended release 24 hour,Tier 1,PA,Anthem-Blue-Cross
dextroamphetamine sulfate oral solution,Tier 1,PA,Anthem-Blue-Cross
dextroamphetamine sulfate oral tablet,Tier 1,PA,Anthem-Blue-Cross
dextroamphetamine sulfate (Procentra Oral Solution),Tier 1,PA,Anthem-Blue-Cross
VYVANSE ORAL CAPSULE (lisdexamfetamine dimesylate),Tier 3,PA,Anthem-Blue-Cross
VYVANSE ORAL TABLET CHEWABLE (lisdexamfetamine dimesylate),Tier 3,PA,Anthem-Blue-Cross
dextroamphetamine sulfate (Zenzedi Oral Tablet),Tier 1,PA,Anthem-Blue-Cross
dexmethylphenidate hcl er oral capsule extended release 24 hour,Tier 1,PA,Anthem-Blue-Cross
dexmethylphenidate hcl oral tablet,Tier 1,PA,Anthem-Blue-Cross
methylphenidate hcl (Metadate Er Oral Tablet Extended Release),Tier 1,PA,Anthem-Blue-Cross
methylphenidate hcl er (cd) oral capsule extended release,Tier 1,PA,Anthem-Blue-Cross
methylphenidate hcl er (la) oral capsule extended release 24 hour,Tier 1,PA,Anthem-Blue-Cross
methylphenidate hcl er oral tablet extended release,Tier 1,PA,Anthem-Blue-Cross
methylphenidate hcl er oral tablet extended release 24 hour,Tier 1,PA,Anthem-Blue-Cross
methylphenidate hcl oral solution,Tier 1,PA,Anthem-Blue-Cross
methylphenidate hcl oral tablet,Tier 1,PA,Anthem-Blue-Cross
neomycin sulfate oral tablet,Tier 1,,Anthem-Blue-Cross
paromomycin sulfate oral capsule,Tier 1,,Anthem-Blue-Cross
tobramycin inhalation nebulization solution,Tier 4,SP,Anthem-Blue-Cross
HUMIRA PEDIATRIC CROHNS START SUBCUTANEOUS PREFILLED SYRINGE KIT 80 MG/0.8ML (adalimumab),Tier 4,PA; SP; QL (1 kit per 365 days),Anthem-Blue-Cross
HUMIRA PEDIATRIC CROHNS START SUBCUTANEOUS PREFILLED SYRINGE KIT 80 MG/0.8ML & 40MG/0.4ML (adalimumab),Tier 4,PA; SP; QL (2 syringes per 28 days),Anthem-Blue-Cross
HUMIRA PEN SUBCUTANEOUS PEN-INJECTOR KIT 40 MG/0.4ML (adalimumab),Tier 4,PA; SP; QL (2 syringes per 28 days),Anthem-Blue-Cross
HUMIRA PEN SUBCUTANEOUS PEN-INJECTOR KIT 40 MG/0.8ML (adalimumab),Tier 4,PA; SP; QL (2 pens per 28 days),Anthem-Blue-Cross
HUMIRA PEN-CD/UC/HS STARTER SUBCUTANEOUS PEN- INJECTOR KIT (adalimumab),Tier 4,PA; SP; QL (1 kit per 365 days),Anthem-Blue-Cross
HUMIRA PEN-PS/UV/ADOL HS START SUBCUTANEOUS PEN- INJECTOR KIT (adalimumab),Tier 4,PA; SP; QL (1 kit per 365 days),Anthem-Blue-Cross
HUMIRA SUBCUTANEOUS PREFILLED SYRINGE KIT (adalimumab),Tier 4,PA; SP; QL (2 syringes per 28 days),Anthem-Blue-Cross
SIMPONI ARIA INTRAVENOUS SOLUTION (golimumab),Tier 4,PA; SP,Anthem-Blue-Cross
SIMPONI SUBCUTANEOUS SOLUTION AUTO-INJECTOR (golimumab),Tier 4,PA; SP; QL (1 pen per 28 days),Anthem-Blue-Cross
SIMPONI SUBCUTANEOUS SOLUTION PREFILLED SYRINGE (golimumab),Tier 4,PA; SP; QL (1 syringe per 28 days),Anthem-Blue-Cross
HUMIRA PEDIATRIC CROHNS START SUBCUTANEOUS PREFILLED SYRINGE KIT 80 MG/0.8ML (adalimumab),Tier 4,PA; SP; QL (1 kit per 365 days),Anthem-Blue-Cross
HUMIRA PEDIATRIC CROHNS START SUBCUTANEOUS PREFILLED SYRINGE KIT 80 MG/0.8ML & 40MG/0.4ML (adalimumab),Tier 4,PA; SP; QL (2 syringes per 28 days),Anthem-Blue-Cross
HUMIRA PEN SUBCUTANEOUS PEN-INJECTOR KIT 40 MG/0.4ML (adalimumab),Tier 4,PA; SP; QL (2 syringes per 28 days),Anthem-Blue-Cross
HUMIRA PEN SUBCUTANEOUS PEN-INJECTOR KIT 40 MG/0.8ML (adalimumab),Tier 4,PA; SP; QL (2 pens per 28 days),Anthem-Blue-Cross
HUMIRA PEN-CD/UC/HS STARTER SUBCUTANEOUS PEN- INJECTOR KIT (adalimumab),Tier 4,PA; SP; QL (1 kit per 365 days),Anthem-Blue-Cross
HUMIRA PEN-PS/UV/ADOL HS START SUBCUTANEOUS PEN- INJECTOR KIT (adalimumab),Tier 4,PA; SP; QL (1 kit per 365 days),Anthem-Blue-Cross
HUMIRA SUBCUTANEOUS PREFILLED SYRINGE KIT (adalimumab),Tier 4,PA; SP; QL (2 syringes per 28 days),Anthem-Blue-Cross
SIMPONI ARIA INTRAVENOUS SOLUTION (golimumab),Tier 4,PA; SP,Anthem-Blue-Cross
SIMPONI SUBCUTANEOUS SOLUTION AUTO-INJECTOR (golimumab),Tier 4,PA; SP; QL (1 pen per 28 days),Anthem-Blue-Cross
