Prescription Drug Name,Drug Tier,Coverage Requirements and Limits
BANOPHEN ORAL CAPSULE 50 MG,Tier 1,
carbinoxamine maleate oral liquid 4 mg/5 ml,Tier 1,
carbinoxamine maleate oral tablet 4 mg,Tier 1,
cyproheptadine oral syrup 2 mg/5 ml,Tier 1,
cyproheptadine oral tablet 4 mg,Tier 1,
diphenhydramine hcl oral capsule 50 mg(Banophen),Tier 1,
hydroxyzine hcl oral solution 10 mg/5 ml,Tier 1,
"hydroxyzine hcl oral tablet 10 mg, 25 mg, 50 mg",Tier 1,
hydroxyzine pamoate oral capsule 100 mg,Tier 1,
"hydroxyzine pamoate oral capsule 25 mg, 50(Vistaril) mg",Tier 1,
PHARBEDRYL ORAL CAPSULE 50 MG,Tier 1,
promethazine oral syrup 6.25 mg/5 ml,Tier 1,
"promethazine oral tablet 12.5 mg, 25 mg, 50 mg",Tier 1,
"azelastine nasal aerosol,spray 137 mcg (0.1 %)",Tier 1,
"azelastine nasal spray,non-aerosol 0.15 % (205.5 mcg)",Tier 1,
"olopatadine nasal spray,non-aerosol 0.6 %(Patanase)",Tier 1,
"24 HOUR ALLERGY RELIEF NASAL SPRAY,SUSPENSION 50 MCG/ACTUATION",Tier 1,QL (31.6 ML per 1 FILL)
"24 HOUR NASAL ALLERGY NASAL AEROSOL,SPRAY 55 MCG",Tier 1,QL (33.8 ML per 1 FILL)
"ALLER-FLO NASAL SPRAY,SUSPENSION 50 MCG/ACTUATION",Tier 1,QL (31.6 ML per 1 FILL)
"ALLERGY RELIEF (FLUTICASONE) NASAL SPRAY,SUSPENSION 50 MCG/ACTUATION",Tier 1,QL (31.6 ML per 1 FILL)
"CHILDREN'S FLONASE SENSIMIST NASAL SPRAY,SUSPENSION 27.5 MCG/ACTUATION",Tier 3,"ST: Prior prescription for Children's Nasacort, Flunisolide, Fluticasone Propionate, Mometasone Furoate, or Triamcinolone Acetonide in 120 days; QL (31.6 ML per 1 FILL)"
"CLARISPRAY NASAL SPRAY,SUSPENSION 50 MCG/ACTUATION",Tier 1,QL (31.6 ML per 1 FILL)
"FLONASE SENSIMIST NASAL SPRAY,SUSPENSION 27.5 MCG/ACTUATION",Tier 3,"ST: Prior prescription for Children's Nasacort, Flunisolide, Fluticasone Propionate, Mometasone Furoate, or Triamcinolone Acetonide in 120 days; QL (31.6 ML per 1 FILL)"
"flunisolide nasal spray,non-aerosol 25 mcg (0.025 %)",Tier 1,QL (50 ML per 1 FILL)
"fluticasone propionate nasal spray,suspension(24 Hour Allergy Relief) 50 mcg/actuation",Tier 1,QL: 2 BOTTLES PER FILL
"mometasone nasal spray,non-aerosol 50(Nasonex) mcg/actuation",Tier 1,QL (34 GM per 1 FILL)
"NASAL ALLERGY NASAL AEROSOL,SPRAY 55 MCG",Tier 1,QL (33.8 ML per 1 FILL)
"triamcinolone acetonide nasal aerosol,spray(24 Hour Nasal Allergy) 55 mcg",Tier 1,QL (33.8 ML per 1 FILL)
AKYNZEO (NETUPITANT) ORAL CAPSULE 300-0.5 MG,Tier 2,PR: RESTRICTED TO ONCOLOGIST OR HEMATOLOGIST; QL (1 EA per 1 FILL)
"aprepitant oral capsule 125 mg, 40 mg, 80 mg(Emend)",Tier 2,PR: RESTRICTED TO ONCOLOGIST OR HEMATOLOGIST; QL (3 EA per 1 FILL)
"aprepitant oral capsule,dose pack 125 mg (1)-(Emend) 80 mg (2)",Tier 2,PR: RESTRICTED TO ONCOLOGIST OR HEMATOLOGIST; QL (3 EA per 1 FILL)
COMPRO RECTAL SUPPOSITORY 25 MG,Tier 1,
DRAMAMINE LESS DROWSY ORAL TABLET 25 MG,Tier 1,
"dronabinol oral capsule 10 mg, 2.5 mg, 5 mg(Marinol)",Tier 1,
granisetron hcl oral tablet 1 mg,Tier 1,QL (9 EA per 1 FILL)
meclizine oral tablet 25 mg(Dramamine Less Drowsy),Tier 1,
MEDI-MECLIZINE ORAL TABLET 25 MG,Tier 1,
MOTION RELIEF (MECLIZINE) ORAL TABLET 25 MG,Tier 1,
MOTION SICKNESS (MECLIZINE) ORAL TABLET 25 MG,Tier 1,
MOTION SICKNESS II ORAL TABLET 25 MG,Tier 1,
MOTION SICKNESS RELIEF(MECLIZ) ORAL TABLET 25 MG,Tier 1,
ondansetron hcl oral solution 4 mg/5 ml,Tier 1,
ondansetron hcl oral tablet 24 mg,Tier 1,
"ondansetron hcl oral tablet 4 mg, 8 mg(Zofran)",Tier 1,
"ondansetron oral tablet,disintegrating 4 mg, 8 mg",Tier 1,
"PHENADOZ RECTAL SUPPOSITORY 12.5 MG, 25 MG",Tier 1,
"prochlorperazine maleate oral tablet 10 mg, 5(Compazine) mg",Tier 1,
prochlorperazine rectal suppository 25 mg(Compazine),Tier 1,
"promethazine rectal suppository 12.5 mg, 25(Phenadoz) mg",Tier 1,
promethazine rectal suppository 50 mg(Promethegan),Tier 1,
"PROMETHEGAN RECTAL SUPPOSITORY 12.5 MG, 25 MG, 50 MG",Tier 1,
scopolamine base transdermal patch 3 day 1(Transderm-Scop) mg over 3 days,Tier 3,
TRAVEL-EASE (MECLIZINE) ORAL TABLET 25 MG,Tier 1,
trimethobenzamide oral capsule 300 mg(Tigan),Tier 1,
VARUBI ORAL TABLET 90 MG,Tier 2,PR: RESTRICTED TO ONCOLOGIST OR HEMATOLOGIST; QL (2 EA per 1 day)
VERTICALM ORAL TABLET 25 MG,Tier 1,
WAL-DRAM 2 ORAL TABLET 25 MG,Tier 1,
ATROVENT HFA INHALATION HFA AEROSOL INHALER 17 MCG/ACTUATION,Tier 2,
ipratropium bromide inhalation solution 0.02 %,Tier 1,
INCRUSE ELLIPTA INHALATION BLISTER WITH DEVICE 62.5 MCG/ACTUATION,Tier 2,
"SPIRIVA RESPIMAT INHALATION MIST 1.25 MCG/ACTUATION, 2.5 MCG/ACTUATION",Tier 2,
"SPIRIVA WITH HANDIHALER INHALATION CAPSULE, W/INHALATION DEVICE 18 MCG",Tier 2,
albuterol sulfate oral syrup 2 mg/5 ml,Tier 1,
"albuterol sulfate oral tablet 2 mg, 4 mg",Tier 1,
"albuterol sulfate oral tablet extended release 12 hr 4 mg, 8 mg",Tier 1,
metaproterenol oral syrup 10 mg/5 ml,Tier 1,
"terbutaline oral tablet 2.5 mg, 5 mg",Tier 1,
"albuterol sulfate inhalation solution for nebulization 0.63 mg/3 ml, 1.25 mg/3 ml, 2.5 mg /3 ml (0.083 %), 2.5 mg/0.5 ml, 5 mg/ml",Tier 1,
"levalbuterol hcl inhalation solution for(Xopenex) nebulization 0.31 mg/3 ml, 0.63 mg/3 ml, 1.25 mg/3 ml",Tier 1,
levalbuterol hcl inhalation solution for(Xopenex Concentrate) nebulization 1.25 mg/0.5 ml,Tier 1,
PROAIR HFA INHALATION HFA AEROSOL INHALER 90 MCG/ACTUATION,Tier 2,BRAND COVERED AT GENERIC COPAY
VENTOLIN HFA INHALATION HFA AEROSOL INHALER 90 MCG/ACTUATION,Tier 2,BRAND COVERED AT GENERIC COPAY
STRIVERDI RESPIMAT INHALATION MIST 2.5 MCG/ACTUATION,Tier 3,QL (1 GM per 30 days)
SEREVENT DISKUS INHALATION BLISTER WITH DEVICE 50 MCG/DOSE,Tier 2,
COMBIVENT RESPIMAT INHALATION MIST 20-100 MCG/ACTUATION,Tier 2,
ipratropium-albuterol inhalation solution for nebulization 0.5 mg-3 mg(2.5 mg base)/3 ml,Tier 1,
STIOLTO RESPIMAT INHALATION MIST 2.5- 2.5 MCG/ACTUATION,Tier 2,
"ADVAIR DISKUS INHALATION BLISTER WITH DEVICE 100-50 MCG/DOSE, 250-50 MCG/DOSE, 500-50 MCG/DOSE",Tier 2,BRAND COVERED AT GENERIC COPAY
"ADVAIR HFA INHALATION HFA AEROSOL INHALER 115-21 MCG/ACTUATION, 230-21 MCG/ACTUATION, 45-21 MCG/ACTUATION",Tier 2,
"BREO ELLIPTA INHALATION BLISTER WITH DEVICE 100-25 MCG/DOSE, 200-25 MCG/DOSE",Tier 2,
"DULERA INHALATION HFA AEROSOL INHALER 100-5 MCG/ACTUATION, 200-5 MCG/ACTUATION",Tier 2,
"ARNUITY ELLIPTA INHALATION BLISTER WITH DEVICE 100 MCG/ACTUATION, 200 MCG/ACTUATION",Tier 1,
"ASMANEX HFA INHALATION HFA AEROSOL INHALER 100 MCG/ACTUATION, 200 MCG/ACTUATION",Tier 1,
"ASMANEX TWISTHALER INHALATION AEROSOL POWDR BREATH ACTIVATED 110 MCG/ ACTUATION (30), 220 MCG/ ACTUATION (120), 220 MCG/ ACTUATION (30), 220 MCG/ ACTUATION (60)",Tier 1,
"budesonide inhalation suspension for(Pulmicort) nebulization 0.25 mg/2 ml, 0.5 mg/2 ml, 1 mg/2 ml",Tier 1,
"FLOVENT DISKUS INHALATION BLISTER WITH DEVICE 100 MCG/ACTUATION, 250 MCG/ACTUATION, 50 MCG/ACTUATION",Tier 1,
"FLOVENT HFA INHALATION HFA AEROSOL INHALER 110 MCG/ACTUATION, 220 MCG/ACTUATION, 44 MCG/ACTUATION",Tier 1,
"DUPIXENT SUBCUTANEOUS SYRINGE 200 MG/1.14 ML, 300 MG/2 ML",Tier 4,PA; QL (4 ML per 28 days)
montelukast oral granules in packet 4 mg(Singulair),Tier 1,
montelukast oral tablet 10 mg(Singulair),Tier 1,
"montelukast oral tablet,chewable 4 mg, 5 mg(Singulair)",Tier 1,
"zafirlukast oral tablet 10 mg, 20 mg(Accolate)",Tier 1,
cromolyn oral concentrate 100 mg/5 ml(Gastrocrom),Tier 1,
cromolyn inhalation solution for nebulization 20 mg/2 ml,Tier 1,
NUCALA SUBCUTANEOUS AUTO- INJECTOR 100 MG/ML,Tier 4,PA; QL (1 ML per 28 days)
NUCALA SUBCUTANEOUS SYRINGE 100 MG/ML,Tier 4,PA; QL (1 ML per 28 days)
ACE AEROSOL CLOUD ENHANCER SPACER,Tier 2,
AEROCHAMBER MINI SPACER,Tier 2,
AEROCHAMBER MV SPACER,Tier 2,
AEROCHAMBER PLUS FLOW-VU SPACER,Tier 2,
"AEROCHAMBER PLUS FLOW-VU,L MSK SPACER",Tier 2,
"AEROCHAMBER PLUS FLOW-VU,M MSK SPACER",Tier 2,
"AEROCHAMBER PLUS FLOW-VU,S MSK SPACER",Tier 2,
AEROCHAMBER PLUS Z STAT LG MSK SPACER,Tier 2,
AEROCHAMBER PLUS Z STAT MD MSK SPACER,Tier 2,
AEROCHAMBER PLUS Z STAT SM MSK SPACER,Tier 2,
AEROCHAMBER PLUS Z STAT SPACER,Tier 2,
AEROCHAMBER WITH FLOWSIGNAL SPACER,Tier 2,
AEROCHAMBER Z-STAT PLUS-FLW SG SPACER,Tier 2,
AEROECLIPSE II NEBULIZER,Tier 2,
AEROGEAR ACTION ASTHMA KIT KIT,Tier 1,
AERONEB GO NEBULIZER,Tier 2,
AEROTRACH PLUS SPACER,Tier 2,
AEROVENT PLUS SPACER,Tier 2,
