Prescription Drug Name,Drug Tier,Coverage Requirements and Limits
"ADDERALL TABS 3.75MG-3.75MG-3.75MG- 3.75MG, 1.875MG- 1.875MG-1.875MG- 1.875MG (Use Amphetamine- Dextroamphetamine)",NF,QL(90 ea per fill retail)
"ADDERALL TABS 5MG- 5MG-5MG-5MG, 2.5MG- 2.5MG-2.5MG-2.5MG, 7.5MG-7.5MG-7.5MG- 7.5MG, 1.25MG-1.25MG- 1.25MG-1.25MG, 3.125MG-3.125MG- 3.125MG-3.125MG (Use Amphetamine- Dextroamphetamine)",NF,
ADDERALL XR CP24 (Use Amphetamine- Dextroamphetamine),NF,"QL(2 ea daily,90 day(s) limit)"
"amphetamine- dextroamphetamine cp24 5mg-5mg-5mg-5mg, 2.5mg-2.5mg-2.5mg- 2.5mg, 7.5mg-7.5mg- 7.5mg-7.5mg, 1.25mg- 1.25mg-1.25mg-1.25mg, 3.75mg-3.75mg-3.75mg- 3.75mg, 6.25mg-6.25mg- 6.25mg-6.25mg",1,"QL(2 ea daily,90 day(s) limit)"
"amphetamine- dextroamphetamine tabs 3.75mg-3.75mg-3.75mg- 3.75mg, 1.875mg- 1.875mg-1.875mg- 1.875mg",1,QL(90 ea per fill retail)
"amphetamine- dextroamphetamine tabs 5mg-5mg-5mg-5mg, 2.5mg-2.5mg-2.5mg- 2.5mg, 7.5mg-7.5mg- 7.5mg-7.5mg, 1.25mg- 1.25mg-1.25mg-1.25mg, 3.125mg-3.125mg- 3.125mg-3.125mg",1,
DESOXYN TABS (Use Methamphetamine HCl),NF,PA;
DEXEDRINE CP24 (Use Dextroamphetamine Sulfate),NF,
dextroamphetamine sulfate cp24,1,
dextroamphetamine sulfate soln,1,
dextroamphetamine sulfate tabs,1,
methamphetamine hcl tabs,2,PA;
PROCENTRA SOLN (Use Dextroamphetamine Sulfate),NF,
"VYVANSE CAPS 10 MG, 20 MG, 30 MG, 40 MG, 50 MG, 60 MG, 70 MG",2,QL(1 ea daily)
"VYVANSE CHEW 10 MG, 20 MG, 30 MG, 40 MG, 50 MG, 60 MG",2,Limited to 1 per day;QL(1 ea daily)
"ZENZEDI TABS 2.5 MG, 7.5 MG",3,
caffeine citrate soln,1,
ADIPEX-P CAPS (Use Phentermine HCl),NF,PA
ADIPEX-P TABS (Use Phentermine HCl),NF,PA
BENZPHETAMINE HCL TABS 25 MG,3,PA
benzphetamine hcl tabs 50 mg,1,PA
DIETHYLPROPION HCL ER TB24,3,PA
diethylpropion hcl tabs 25 mg,1,PA
DIETHYLPROPION HCL TABS 25 MG (Use Diethylpropion HCl),NF,PA
diethylpropion hcl tb24 75 mg,1,PA
LOMAIRA TABS,3,PA
phentermine hcl caps,1,PA
phentermine hcl tabs,1,PA
PHENTERMINE HYDROCHLORIDE CAPS,3,PA
QSYMIA CP24,3,PA; QL(1 ea daily)
REGIMEX TABS (Use Benzphetamine HCl),NF,PA
BELVIQ TABS,3,PA
CONTRAVE TB12,3,PA
SAXENDA SOPN,3,PA; QL(0.5 ml daily)
XENICAL CAPS,3,PA
"atomoxetine hcl caps 10 mg, 18 mg, 25 mg, 40 mg",1,QL(2 ea daily)
"atomoxetine hcl caps 60 mg, 80 mg, 100 mg",1,QL(1 ea daily)
clonidine hcl (adhd) tb12,1,QL(4 ea daily)
guanfacine hcl (adhd) tb24,1,QL(1 ea daily)
INTUNIV TB24 (Use Guanfacine HCl (ADHD)),NF,QL(1 ea daily)
KAPVAY TB12 (Use Clonidine HCl (ADHD)),NF,QL(4 ea daily)
"STRATTERA CAPS 10 MG, 18 MG, 25 MG, 40 MG (Use Atomoxetine HCl)",NF,QL(2 ea daily)
"STRATTERA CAPS 60 MG, 80 MG, 100 MG (Use Atomoxetine HCl)",NF,QL(1 ea daily)
armodafinil tabs,1,PA
"CONCERTA TBCR 18 MG, 27 MG, 36 MG (Use Methylphenidate HCl)",NF,QL(1 ea daily)
CONCERTA TBCR 54 MG (Use Methylphenidate HCl),NF,QL(2 ea daily)
DAYTRANA PTCH,3,QL(1 ea daily)
"dexmethylphenidate hcl cp24 5 mg, 10 mg, 15 mg, 20 mg, 25 mg, 30 mg, 35 mg, 40 mg",1,QL(1 ea daily)
"dexmethylphenidate hcl tabs 5 mg, 10 mg, 2.5 mg",1,QL(2 ea daily)
FOCALIN TABS (Use Dexmethylphenidate HCl),NF,QL(2 ea daily)
FOCALIN XR CP24 (Use Dexmethylphenidate HCl),NF,QL(1 ea daily)
METHYLIN SOLN (Use Methylphenidate HCl),NF,
"methylphenidate hcl chew 5 mg, 10 mg, 2.5 mg",1,
"methylphenidate hcl cp24 10 mg, 20 mg, 30 mg, 40 mg",1,QL(1 ea daily)
methylphenidate hcl cp24 60 mg,1,"QL(1 ea daily,90 ea per fill retail)"
"methylphenidate hcl cpcr 10 mg, 40 mg, 50 mg, 60 mg",1,
"methylphenidate hcl cpcr 20 mg, 30 mg",1,QL(2 ea daily)
"methylphenidate hcl soln 5 mg/5ml, 10 mg/5ml",1,
methylphenidate hcl tabs 20 mg,1,QL(3 ea daily)
"methylphenidate hcl tabs 5 mg, 10 mg",1,
"methylphenidate hcl tb24 18 mg, 27 mg, 54 mg",1,"QL(1 ea daily,90 day(s) limit)"
methylphenidate hcl tb24 36 mg,1,"QL(2 ea daily,90 day(s) limit)"
"methylphenidate hcl tbcr 10 mg, 20 mg",1,"QL(1 ea daily,90 ea per fill retail)"
"methylphenidate hcl tbcr 18 mg, 27 mg, 36 mg",1,QL(1 ea daily)
methylphenidate hcl tbcr 54 mg,1,QL(2 ea daily)
modafinil tabs,2,ST; QL(1 ea daily)
NUVIGIL TABS (Use Armodafinil),NF,PA
PROVIGIL TABS (Use Modafinil),NF,ST; QL(1 ea daily)
QUILLIVANT XR SUSR,3,PA; QL(12 ml daily)
RITALIN LA CP24 (Use Methylphenidate HCl),NF,QL(1 ea daily)
RITALIN TABS 20 MG (Use Methylphenidate HCl),NF,QL(3 ea daily)
"RITALIN TABS 5 MG, 10 MG (Use Methylphenidate HCl)",NF,
ARIKAYCE SUSP,SP,PA
BETHKIS NEBU,SP,PA; LA
KITABIS PAK NEBU (Use Tobramycin),NF,
neomycin sulfate tabs,1,
paromomycin sulfate caps,1,
STREPTOMYCIN SULFATE SOLR,SP,PA
TOBI NEBU (Use Tobramycin),NF,
TOBI PODHALER CAPS,SP,PA
tobramycin nebu,2,PA
TOBRAMYCIN NEBU (Use Tobramycin),NF,
TOBRAMYCIN SULFATE SOLN 10 MG/ML,SP,PA
"tobramycin sulfate soln 40 mg/ml, 80 mg/2ml",SP,PA
HUMIRA PEDIATRIC CROHNS DISEASE STARTER PACK PSKT 40 MG/0.8ML,SP,PA; LA
"HUMIRA PEDIATRIC CROHNS DISEASE STARTER PACK PSKT 80 MG/0.8ML,",SP,PA
HUMIRA PEN PNKT 40 MG/0.4ML,SP,PA
HUMIRA PEN PNKT 40 MG/0.8ML,SP,PA; LA
HUMIRA PEN-CD/UC/HS STARTER PNKT 40 MG/0.8ML,SP,PA; LA
HUMIRA PEN-CD/UC/HS STARTER PNKT 80 MG/0.8ML,SP,PA
HUMIRA PEN-PS/UV STARTER PNKT,SP,PA; LA
HUMIRA PEN-PS/UV STARTER PNKT,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;SP
"HUMIRA PSKT 10 MG/0.1ML, 20 MG/0.2ML, 40 MG/0.4ML",SP,PA
"HUMIRA PSKT 10 MG/0.2ML, 20 MG/0.4ML, 40 MG/0.8ML",SP,PA; LA
SIMPONI SOAJ,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661
SIMPONI SOSY,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661
RINVOQ TB24,SP,PA
XELJANZ TABS 10 MG,SP,PA
XELJANZ TABS 5 MG,SP,PA; QL(2 ea daily); SP
XELJANZ XR TB24,SP,PA; QL(1 ea daily); SP
METHOTREXATE TABS,3,
OTREXUP SOAJ 10 MG/0.4ML,SP,PA; Must use AcariaHealth Specialty Rx at 1-844-538- 4661;;LA
