Prescription Drug Name,Drug Tier,Coverage Requirements and Limits
lamivudine tabs 300 mg,1,
lamivudine-zidovudine tabs 150-300 mg,1,
LEXIVA TABS 700 MG [fosamprenavir calcium],2,
nevirapine er tb24 400 mg,1,
nevirapine susp 50 mg/5ml,1,
nevirapine tabs 200 mg,1,
NORVIR SOLN 80 MG/ML [ritonavir],2,
PREZISTA TABS 150 MG [darunavir ethanolate],2,
PREZISTA TABS 600 MG [darunavir ethanolate],2,
PREZISTA TABS 75 MG [darunavir ethanolate],2,
PREZISTA TABS 800 MG [darunavir ethanolate],2,
RESCRIPTOR TABS 100 MG [delavirdine mesylate],2,
RESCRIPTOR TABS 200 MG [delavirdine mesylate],2,
SELZENTRY TABS 150 MG [maraviroc],2,
SELZENTRY TABS 25 MG [maraviroc],2,
SELZENTRY TABS 300 MG [maraviroc],2,
SELZENTRY TABS 75 MG [maraviroc],2,
stavudine caps 15 mg,1,
stavudine caps 20 mg,1,
stavudine caps 30 mg,1,
stavudine caps 40 mg,1,
STRIBILD TABS 150-150-200-300 MG [elvitegravir-cobicistat-emtricitabine-tenofovir df],2,
SYMFI LO TABS 400-300-300 MG [efavirenz-lamivudine-tenofovir disoproxil fumarate],1,
SYMFI TABS 600-300-300 MG [efavirenz-lamivudine-tenofovir disoproxil fumarate],1,
SYMTUZA TABS 800-150-200-10 MG [darunavir-cobicistat-emtricitabine-tenofovir alafenamide],2,
TIVICAY TABS 50 MG [dolutegravir sodium],2,
TRIUMEQ TABS 600-50-300 MG [abacavir-dolutegravir-lamivudine],2,
TRUVADA TABS 200-300 MG [emtricitabine-tenofovir disoproxil fumarate],2,
VIDEX SOLR 2 GM [didanosine],2,
VIDEX SOLR 4 GM [didanosine],2,
VIRACEPT TABS 250 MG [nelfinavir mesylate],2,
VIRACEPT TABS 625 MG [nelfinavir mesylate],2,
VIRAMUNE SUSP 50 MG/5ML [nevirapine],2,
ZIAGEN SOLN 20 MG/ML [abacavir sulfate],2,
zidovudine caps 100 mg,1,
zidovudine syrp 50 mg/5ml,1,
zidovudine tabs 300 mg,1,
lamivudine tabs 300 mg,1,
